company,website,linkedin,category,relevance,funding_stage,country,priority,notes
Stability AI,https://stability.ai,https://linkedin.com/company/stability-ai,Image Generation,"Stable Diffusion - MASSIVE anime community, thousands of fine-tuned models",Series B,UK,HIGH,LEGENDARY FIT - Anime is core to their community
Midjourney,https://midjourney.com,https://linkedin.com/company/midjourney,Image Generation,"Niji mode specifically for anime, huge art community",Self-funded,US,HIGH,
Leonardo.AI,https://leonardo.ai,https://linkedin.com/company/leonardo-ai,Image Generation,"Game art generation, anime-style models, gaming focus",Series A,Australia,HIGH,"LEGENDARY FIT - Built for game dev, strong anime models"
Civitai,https://civitai.com,https://linkedin.com/company/civitai,Image Generation,"Largest anime AI model community, model sharing platform",Series A,US,HIGH,LEGENDARY FIT - Anime is 70%+ of their content
NovelAI,https://novelai.net,,Image Generation,"Anime-first image generation, trained on anime data",Unknown,US,HIGH,LEGENDARY FIT - Anime-specific product
PixAI,https://pixai.art,,Image Generation,Anime-specific AI art generator,Unknown,US,HIGH,LEGENDARY FIT - 100% anime focused
Holara AI,https://holara.ai,,Image Generation,Anime art generation specialist,Unknown,US,HIGH,LEGENDARY FIT - Anime-only product
Ideogram,https://ideogram.ai,https://linkedin.com/company/ideogram-ai,Image Generation,"Text rendering in images, creative generation",Series A,US,MEDIUM,
Artbreeder,https://artbreeder.com,https://linkedin.com/company/artbreeder,Image Generation,"Collaborative AI art, character portraits",Seed,US,MEDIUM,
Invoke AI,https://invoke.com,https://linkedin.com/company/invoke-ai,Image Generation,"Open-source Stable Diffusion tools, acquired by Adobe",Acquired,US,MEDIUM,
Krea AI,https://krea.ai,https://linkedin.com/company/krea-ai,Image Generation,"Real-time AI generation, creative tools",Seed,US,MEDIUM,
Playground AI,https://playground.com,https://linkedin.com/company/playgroundai,Image Generation,Free AI image generation platform,Series A,US,MEDIUM,
OpenAI,https://openai.com,https://linkedin.com/company/openai,Image Generation,"DALL-E, Sora video - visual generation at scale",Growth,US,HIGH,
Adobe Firefly,https://adobe.com/products/firefly,https://linkedin.com/company/adobe,Image Generation,"Enterprise image generation, creative cloud integration",Public,US,MEDIUM,
Black Forest Labs,https://blackforestlabs.ai,https://linkedin.com/company/black-forest-labs,Image Generation,"FLUX models, ex-Stability team, state-of-art image gen",Series A,US,HIGH,
Recraft AI,https://recraft.ai,https://linkedin.com/company/recraft-ai,Image Generation,Vector and design-focused image generation,Series A,US,MEDIUM,
Runway,https://runwayml.com,https://linkedin.com/company/runwayml,Video Generation,"Gen-3 video, animation capabilities, Lionsgate partnership",Series D ($544M),US,HIGH,
Pika Labs,https://pika.art,https://linkedin.com/company/pika-labs,Video Generation,"Video generation from images/text, popular for anime clips",Series A,US,HIGH,
Luma AI,https://lumalabs.ai,https://linkedin.com/company/luma-ai,Video Generation,"Dream Machine video generation, 3D capture",Series B,US,HIGH,
HeyGen,https://heygen.com,https://linkedin.com/company/heygen,Video Generation,AI avatar video generation,Series A,US,MEDIUM,
Hedra,https://hedra.com,https://linkedin.com/company/hedra-ai,Video Generation,"Character dialogue videos, $32M from A16z",Series A,US,HIGH,
Captions,https://captions.ai,https://linkedin.com/company/captions-ai,Video Generation,"AI video editing, avatars for creators",Series C ($100M),US,MEDIUM,
Genmo,https://genmo.ai,https://linkedin.com/company/genmo-ai,Video Generation,"AI video/3D generation, Mochi model",Seed,US,HIGH,
Kaiber,https://kaiber.ai,https://linkedin.com/company/kaiber-ai,Video Generation,"AI video generation for music/creators, anime styles popular",Seed,US,HIGH,
Opus Clip,https://opus.pro,https://linkedin.com/company/opus-clip,Video Generation,"AI video repurposing, gaming content focus",Series A,US,HIGH,Strong gaming/esports creator market
Twelve Labs,https://twelvelabs.io,https://linkedin.com/company/twelve-labs,Video Generation,"Video understanding AI, could use labeled video data",Series A,US,MEDIUM,
Descript,https://descript.com,https://linkedin.com/company/descript,Video Generation,"AI video/audio editing, Overdub voice cloning",Series C ($100M),US,MEDIUM,
Kapwing,https://kapwing.com,https://linkedin.com/company/kapwing,Video Generation,"Video editing with AI, popular with gaming creators",Series B,US,MEDIUM,
Inworld AI,https://inworld.ai,https://linkedin.com/company/inworld-ai,Gaming AI,"NPC AI, Xbox/Microsoft partnership, character engine",Series A ($60M),US,HIGH,LEGENDARY FIT - Building game characters
Convai,https://convai.com,https://linkedin.com/company/convai,Gaming AI,"Game character AI conversations, NPC dialogue",Seed,US,HIGH,
Scenario,https://scenario.com,https://linkedin.com/company/scenario-gg,Gaming AI,"AI game asset generation, consistent style training",Series A,US,HIGH,LEGENDARY FIT - Game art is core product
Sett,https://sett.gg,https://linkedin.com/company/sett-ai,Gaming AI,"AI agents for mobile game dev, $27M funding",Series A,US,HIGH,
Layer AI,https://layer.ai,https://linkedin.com/company/layer-ai,Gaming AI,AI game asset creation platform,Seed,US,HIGH,
Latitude (AI Dungeon),https://latitude.io,https://linkedin.com/company/latitude-io,Gaming AI,"AI-powered interactive storytelling, anime scenarios popular",Series A,US,HIGH,
Promethean AI,https://prometheanai.com,https://linkedin.com/company/promethean-ai,Gaming AI,AI virtual world creation for AAA games,Seed ($3.5M),US,HIGH,
